Player Name,Club Name,Total,Short,Medium,Long,,Expected,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast
Denzel Dumfries,Inter,nl NED,DF,27,21.8,11286,926,3175,326,398,81.9,308,33,15,55,80,53.8,Matches
Davide Frattesi,Inter,it ITA,MF,23,17.6,5042,432,1512,182,221,82.4,120,18,3,56,25,72.0,Matches
Yann Aurel Bisseck,Inter,de GER,DF,22,13.0,12659,800,3652,308,326,94.5,360,7,4,42,68,83.8,Matches
Alexis Sánchez,Inter,cl CHI,FW,34,12.5,5979,472,1691,173,208,83.2,106,28,4,67,76,65.8,Matches
Marko Arnautović,Inter,at AUT,FW,34,12.1,3039,306,556,137,172,79.7,65,11,1,21,11,72.7,Matches
Kristjan Asllani,Inter,al ALB,MF,21,12.0,14881,900,3692,343,356,96.3,362,5,1,46,141,66.7,Matches
Emil Audero,Inter,it ITA,GK,26,6.1,4288,234,2712,50,51,98.0,117,0,0,0,59,55.9,Matches
Juan Cuadrado,Inter,co COL,"DF,FW",35,4.2,3586,241,890,94,100,94.0,79,5,2,15,35,60.0,Matches
Davy Klaassen,Inter,nl NED,"MF,FW",30,4.0,1661,130,341,58,65,89.2,37,1,0,10,10,80.0,Matches
Tajon Buchanan,Inter,ca CAN,"DF,FW",24,1.8,787,72,103,36,39,92.3,16,1,1,4,6,50.0,Matches
Stefano Sensi,Inter,it ITA,MF,27,0.9,962,52,198,17,17,100.0,20,0,0,3,9,100.0,Matches
Raffaele Di Gennaro,Inter,it ITA,GK,29,0.3,324,17,175,5,5,100.0,8,0,0,0,3,66.7,Matches
Ebenezer Akinsanmiro,Inter,ng NGA,MF,18,0.2,83,8,45,6,6,100.0,1,1,0,2,0,,Matches
Lucien Agoume,Inter,fr FRA,MF,21,0.1,75,5,7,3,3,100.0,2,0,0,0,0,,Matches
Rodri,Manchester City,es ESP,MF,27,46.3,72768,4588,19753,2027,2154,94.1,1679,76,1,495,500,84.8,Matches
