Player Name,Club Name,Country,Position,PostShotExpectedGoals/90min,90s,GoalsAgainst,PKAgainst,FKGoalsAgainst,CornerKickGoalsAgainst,OwnGoalsScoredAgainst,PostShotExpectedGoals,PostShotExpectedGoals/ShotOnTarget,PostShotExpectedGoals/90min,90s,LongPassesCompleted,LongPassesAttempted,LongPassesCompleted%,ShortPassesAttempted,ThrowsAttempted,Launch%,AveragePassLength,GKAttempted,/90,Cmp,CrossesStopped,CrossesStopped%,DefenseOutsidePenalyArea,DefenseOutsidePenalyArea/90min,AvgDistanceofDefenseOutsidePenalyArea,MatchesPlayed,MatchesStarted,Minutes,90s(MinutesPlayed/90s),GoalsAgainst,GoalsAgainst/90,ShotsOnTargetAgainst,Saves,Save%,Wins,Draws,Losses,CleanSheats,CleanSheats%,PKAttempted,PKAllowed,PKSaved,PKMissed,PKSave%
Vito Mannone,Lille,ITA,GK,35,5,3,0,0,1,0,4.9,0.33,1.9,0.48,10,32,31.3,119,15,23.5,30.8,8,50,39.4,2,4.9,8,1.99,15.5,6,5,451,5,3,0.6,16,13,81.3,2,3,0,3,60,0,0,0,0,
Guglielmo Vicario,Tottenham,ITA,GK,26,40,62,7,1,8,3,60,0.32,2,0.05,53,225,23.6,1363,193,14.3,24,201,14.9,22.2,33,6.5,81,2.13,17.1,40,40,"3,600",40,62,1.55,173,114,68.2,21,6,13,8,20,7,7,0,0,0
Fraser Forster,Tottenham,ENG,GK,35,1.3,1,0,,,,,,,,,,,,,,,,,,,,,,,1,1,120,1.3,1,0.75,4,3,75,0,1,0,0,0,0,0,0,0,
Mile Svilar,Roma,SRB,GK,23,30.3,32,1,0,5,2,34.8,0.24,5.8,0.2,94,275,34.2,905,138,21.4,28.3,182,44.5,40,32,7.7,15,0.52,12,30,30,"2,730",30.3,32,1.05,143,112,78.3,15,8,7,10,33.3,2,1,1,0,50
Rui Patrício,Roma,POR,GK,35,24,28,3,0,2,2,23.4,0.29,-1.6,-0.07,90,211,42.7,492,86,31.5,31,137,40.9,34.9,16,5.2,8,0.35,11.7,24,24,"2,160",24,28,1.17,78,53,67.9,11,5,8,6,25,4,3,0,1,0
Đorđe Petrović,Chelsea,SRB,GK,23,30.7,44,1,0,5,3,28.3,0.26,-6.7,-0.3,67,214,31.3,655,97,22.1,27.8,149,46.3,37.8,20,6.4,20,0.91,12.7,31,30,"2,767",30.7,44,1.43,140,99,69.3,16,7,7,7,23.3,2,1,0,1,0
Robert Sánchez,Chelsea,ESP,GK,25,20.9,30,3,0,3,0,24.2,0.28,-0.8,-0.05,61,147,41.5,516,87,21.3,28.1,91,40.7,33.7,19,9.4,27,1.7,15.8,21,21,"1,883",20.9,30,1.43,87,57,69,10,4,7,5,23.8,4,3,1,0,25
Marcin Bułka,Nice,POL,GK,23,38.3,35,5,0,1,1,30.7,0.22,2.7,0.08,74,189,39.2,1086,158,14.4,23.9,147,22.4,25.5,32,8.5,21,0.62,12.2,38,38,"3,450",38.3,35,0.91,123,87,75.6,17,11,10,18,47.4,10,5,5,0,50
Ivan Provedel,Lazio,ITA,GK,29,40,46,3,0,2,0,42.4,0.27,-0.6,-0.02,119,297,40.1,1046,134,21.3,30.1,215,34.4,36.1,18,3.9,25,0.66,13.8,40,40,"3,599",40,46,1.15,157,112,72.6,17,7,16,13,32.5,4,3,0,1,0
Christos Mandas,Lazio,GRE,GK,21,11,9,0,0,2,0,7,0.25,1,0.12,38,114,33.3,240,29,42.5,37.7,29,41.4,37.9,6,6.1,5,0.62,13.1,12,11,991,11,9,0.82,36,27,75,8,1,2,5,45.5,0,0,0,0,
Martin Dúbravka,Newcastle Utd,SVK,GK,34,29.7,48,4,0,6,0,43.7,0.3,-0.3,-0.01,59,174,33.9,509,148,16.1,25.5,174,52.9,39.2,20,6.6,22,0.95,12.9,30,29,"2,675",29.7,48,1.61,156,107,71.8,12,6,11,8,27.6,5,4,1,0,20
