Player Name,Club Name,Minutes%,Position,GoalsAllowedByTeamInHisPresence,GoalsScoredByTeamInHisPresence-GoalsScoredByTeamInHisAbsence,MinutesPlayed,MinutesPlayed/Match,Player,GamesStarted,MinutesStarted/Match,MatchesCompleted,SubstitueAppearances,Minutes/Substitution,GameAsUnusedSub,TeamPointsPerMatch,GoalsScoredByTeamInHisPresence,GoalsScored-GoalsAllowed,GoalsScored-GoalsAllowed/90,xGOfTeamScoring,xGOfTeamConceding,xGOfTeamScoring-xGOfTeamConceding,xGOfTeamScoring-xGOfTeamConceding/90,xGOfTeamScoringWithHim-xGOfTeamScoringWithoutHim/90,+/-,+/-90
Lucas Vázquez,Real Madrid,38.9,DF,19,-0.06,"1,795",47,19.9,18,86,13,20,13,13,2.55,47,+28,+1.40,42.1,19.3,+22.8,+1.16,+0.58,Matches,
Kepa Arrizabalaga,Real Madrid,35.1,GK,18,-0.45,"1,768",88,19.6,19,92,19,1,28,30,2.55,40,+22,+1.12,31.5,17.7,+13.8,+0.80,-0.01,Matches,
Fran Garcia,Real Madrid,33.6,DF,20,-0.24,"1,693",55,18.8,18,81,11,13,18,24,2.48,43,+23,+1.22,31.7,18.1,+13.6,+0.77,-0.04,Matches,
David Alaba,Real Madrid,30.4,DF,13,-0.60,"1,404",83,15.6,17,83,14,0,,4,2.47,29,+16,+1.03,30.1,15.4,+14.7,+0.94,+0.20,Matches,
Dani Ceballos,Real Madrid,17.4,MF,12,+0.03,876,32,9.7,8,79,4,19,13,17,2.59,26,+14,+1.44,14.9,9.6,+5.3,+0.64,-0.19,Matches,
Éder Militão,Real Madrid,11.0,DF,4,+1.36,509,39,5.7,6,75,3,7,8,2,2.54,19,+15,+2.65,8.4,5.7,+2.7,+0.48,-0.35,Matches,
Arda Güler,Real Madrid,8.8,MF,5,+1.23,444,37,4.9,5,74,2,7,11,21,2.67,18,+13,+2.64,7.1,4.8,+2.3,+0.54,-0.38,Matches,
Thibaut Courtois,Real Madrid,9.1,GK,0,+1.70,422,84,4.7,5,84,4,0,,3,2.60,14,+14,+2.99,8.2,5.7,+2.5,+0.54,-0.28,Matches,
Nicolás Paz,Real Madrid,2.6,MF,1,+1.37,133,17,1.5,1,69,0,7,9,11,2.75,5,+4,+2.71,2.0,1.2,+0.7,+1.03,+0.23,Matches,
Álvaro Carrillo,Real Madrid,1.9,DF,1,+3.50,90,90,1.0,1,90,1,0,,5,3.00,3,+2,+2.00,,,,,,Matches,
Vinicius Tobias,Real Madrid,1.6,DF,0,+3.65,79,79,0.9,1,79,0,0,,7,3.00,2,+2,+2.28,,,,,,Matches,
Mario Martín,Real Madrid,0.8,MF,1,-1.53,39,13,0.4,0,,0,3,13,9,2.33,1,0,0.00,0.1,0.5,-0.4,-1.97,-2.86,Matches,
Gonzalo García,Real Madrid,0.4,MF,0,-1.61,19,10,0.2,0,,0,2,10,7,3.00,0,0,0.00,0.3,0.3,0.0,-0.13,-1.02,Matches,
Álvaro Muñoz,Real Madrid,0.3,FW,1,-1.52,12,6,0.1,0,,0,2,6,0,3.00,1,0,0.00,0.0,0.0,0.0,0.00,-0.88,Matches,
Fran González,Real Madrid,,GK,,,,,,0,,0,0,,1,,,,,,,,,,Matches,
Jacobo Ramón,Real Madrid,,DF,,,,,,0,,0,0,,4,,,,,,,,,,Matches,
Edgar Pujol,Real Madrid,,DF,,,,,,0,,0,0,,1,,,,,,,,,,Matches,
Mario de Luis,Real Madrid,,GK,,,,,,0,,0,0,,3,,,,,,,,,,Matches,
Álvaro Odriozola,Real Madrid,,DF,,,,,,0,,0,0,,2,,,,,,,,,,Matches,
Lucas Cañizares,Real Madrid,,GK,,,,,,0,,0,0,,8,,,,,,,,,,Matches,
Theo Zidane,Real Madrid,,MF,,,,,,0,,0,0,,2,,,,,,,,,,Matches,
Fran González,Real Madrid,,DF,,,,,,0,,0,0,,6,,,,,,,,,,Matches,
Diego Piñeiro,Real Madrid,,GK,,,,,,0,,0,0,,17,,,,,,,,,,Matches,
Fran,Real Madrid,,GK,,,,,,0,,0,0,,14,,,,,,,,,,Matches,
Yann Sommer,Inter,87.2,GK,23,+0.59,"3,900",91,43.3,43,91,43,0,,5,2.49,92,+69,+1.59,83.0,34.6,+48.4,+1.18,+0.01,Matches,
Henrikh Mkhitaryan,Inter,78.4,MF,23,-0.14,"3,503",76,38.9,44,78,17,2,30,3,2.39,79,+56,+1.44,71.7,29.4,+42.2,+1.15,-0.13,Matches,
Nicolò Barella,Inter,78.0,MF,23,+0.24,"3,488",73,38.8,40,81,19,8,30,0,2.33,82,+59,+1.52,76.4,28.5,+47.8,+1.30,+0.58,Matches,
Lautaro Martínez,Inter,77.1,FW,20,+0.76,"3,448",78,38.3,39,85,21,5,25,2,2.41,83,+63,+1.64,73.0,28.7,+44.4,+1.26,+0.35,Matches,
Marcus Thuram,Inter,74.8,FW,23,-0.07,"3,344",73,37.2,41,78,14,5,32,1,2.37,77,+54,+1.45,68.7,28.8,+39.9,+1.14,-0.15,Matches,
Hakan Çalhanoğlu,Inter,72.4,MF,22,-1.09,"3,235",81,35.9,40,81,15,0,,5,2.45,67,+45,+1.25,67.4,28.4,+39.0,+1.16,-0.09,Matches,
Matteo Darmian,Inter,69.6,"DF,FW",21,-0.17,"3,111",72,34.6,34,83,19,9,34,6,2.47,70,+49,+1.42,64.9,26.7,+38.1,+1.23,+0.16,Matches,
Francesco Acerbi,Inter,69.6,DF,25,-0.93,"3,111",82,34.6,33,90,32,5,28,3,2.23,66,+41,+1.19,63.2,28.1,+35.1,+1.14,-0.13,Matches,
Alessandro Bastoni,Inter,65.0,DF,19,-0.48,"2,907",79,32.3,36,80,18,1,14,7,2.30,61,+42,+1.30,61.4,25.8,+35.6,+1.16,-0.07,Matches,
Federico Dimarco,Inter,59.4,DF,20,-0.20,"2,657",66,29.5,35,73,2,5,24,7,2.32,61,+41,+1.39,54.4,22.8,+31.6,+1.17,-0.03,Matches,
Benjamin Pavard,Inter,52.9,DF,17,-0.61,"2,363",76,26.3,28,83,20,3,13,8,2.39,48,+31,+1.18,44.4,18.3,+26.0,+1.10,-0.15,Matches,
Carlos Augusto,Inter,52.6,"DF,FW",15,+0.46,"2,349",51,26.1,20,88,16,26,23,1,2.41,59,+44,+1.69,51.4,20.5,+31.0,+1.27,+0.19,Matches,
Stefan de Vrij,Inter,49.8,DF,12,+0.67,"2,168",66,24.1,23,86,19,10,20,10,2.54,57,+45,+1.87,48.2,19.4,+28.8,+1.26,+0.17,Matches,
Denzel Dumfries,Inter,45.0,DF,16,+0.27,"1,959",54,21.8,23,72,6,13,23,6,2.30,52,+36,+1.65,42.7,17.6,+25.2,+1.16,-0.04,Matches,
Davide Frattesi,Inter,35.3,MF,15,-0.34,"1,580",38,17.6,11,85,7,31,21,4,2.24,37,+22,+1.25,34.1,17.9,+16.2,+1.06,-0.18,Matches,
Yann Aurel Bisseck,Inter,26.1,DF,10,0.00,"1,166",56,13.0,12,86,9,9,15,28,2.24,29,+19,+1.47,27.1,14.0,+13.1,+1.13,-0.06,Matches,
Alexis Sánchez,Inter,25.9,FW,8,-0.34,"1,125",34,12.5,10,74,3,23,17,10,2.18,24,+16,+1.28,27.0,9.9,+17.1,+1.43,+0.33,Matches,
Marko Arnautović,Inter,24.5,FW,9,+0.02,"1,093",32,12.1,8,70,2,26,20,4,2.41,27,+18,+1.48,22.6,12.7,+9.9,+0.90,-0.36,Matches,
Kristjan Asllani,Inter,24.3,MF,7,+0.69,"1,084",35,12.0,9,79,5,22,17,17,2.42,31,+24,+1.99,23.3,11.2,+12.2,+1.11,-0.10,Matches,
Emil Audero,Inter,12.2,GK,8,-0.90,547,91,6.1,6,91,5,0,,43,1.33,12,+4,+0.66,10.4,4.7,+5.7,+1.20,+0.02,Matches,
Juan Cuadrado,Inter,9.1,"DF,FW",0,+0.68,380,32,4.2,1,90,1,11,26,6,1.92,9,+9,+2.13,8.1,3.5,+4.6,+1.08,-0.11,Matches,
Davy Klaassen,Inter,8.1,"MF,FW",3,-0.23,363,20,4.0,3,64,0,15,11,29,2.11,8,+5,+1.24,6.9,3.3,+3.6,+1.15,-0.03,Matches,
Tajon Buchanan,Inter,3.7,"DF,FW",0,+1.67,161,16,1.8,0,,0,10,16,13,1.90,6,+6,+3.35,5.3,1.4,+3.9,+2.18,+0.99,Matches,
Stefano Sensi,Inter,2.3,MF,2,+1.57,84,17,0.9,0,,0,5,17,25,2.40,5,+3,+3.21,1.4,0.8,+0.7,+1.31,+0.07,Matches,
Raffaele Di Gennaro,Inter,0.5,GK,0,-1.78,23,23,0.3,0,,0,1,23,47,1.00,0,0,0.00,0.9,0.4,+0.5,+2.11,+0.87,Matches,
Ebenezer Akinsanmiro,Inter,0.4,MF,0,-1.77,15,15,0.2,0,,0,1,15,5,3.00,0,0,0.00,0.3,0.0,+0.3,+1.76,+0.52,Matches,
Lucien Agoume,Inter,0.1,MF,0,+16.26,5,5,0.1,0,,0,1,5,17,3.00,1,+1,+18.00,0.3,0.0,+0.3,+5.27,+4.04,Matches,
Tomasso Guercio,Inter,,DF,,,,,,0,,0,0,,1,,,,,,,,,,Matches,
Alessandro Calligaris,Inter,,GK,,,,,,0,,0,0,,2,,,,,,,,,,Matches,
Amadou Sarr,Inter,,FW,,,,,,0,,0,0,,12,,,,,,,,,,Matches,
Matteo Motta,Inter,,DF,,,,,,0,,0,0,,2,,,,,,,,,,Matches,
Joaquín Correa,Inter,,"FW,MF",,,,,,0,,0,0,,1,,,,,,,,,,Matches,
