,Playing Time,Performance,Expected,Progression,Per 90 Minutes,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
4.9,"DF,FW",22,14,4,441,0,1,1,0,0,0,0,0,0.17,0.57,Matches,1.6,14,10,20,0.00,0.20,0.20,0.00,0.20,0.17,0.40,0.57
3.5,MF,27,9,2,312,1,0,1,0,1,1,2,0,0.08,0.10,Matches,0.2,8,17,3,0.29,0.00,0.29,0.00,0.00,0.40,0.02,0.42
1.4,FW,19,3,1,122,1,0,1,1,0,0,0,0,0.17,0.21,Matches,0.2,7,2,13,0.74,0.00,0.74,0.74,0.74,0.17,0.04,0.21
1.4,MF,21,3,1,122,2,0,2,2,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,1.48,0.00,1.48,1.48,1.48,0.00,0.00,0.00
0.2,FW,17,2,0,19,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.2,MF,18,1,0,15,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.1,DF,29,1,0,12,0,0,0,0,0,0,0,0,0.27,0.27,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27
0.0,MF,20,1,0,1,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DF,17,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,17,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,37,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,20,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
"4,501",fr FRA,DF,22,50,50,50.0,2,1,3,2,0,0,6,0.04,0.04,0.04,Matches,2.1,20,188,7,0.04,0.02,0.06,0.04,0.06,0.04,0.00
"4,330",br BRA,DF,25,50,48,48.1,4,0,4,4,0,0,5,0.12,0.11,0.12,Matches,5.4,14,148,8,0.08,0.00,0.08,0.08,0.08,0.11,0.02
"4,267",eng ENG,MF,24,51,48,47.4,7,9,16,7,0,0,7,0.21,0.08,0.21,Matches,9.2,100,347,74,0.15,0.19,0.34,0.15,0.34,0.08,0.13
"4,080",eng ENG,DF,25,51,46,45.3,4,5,9,4,0,0,11,0.15,0.04,0.15,Matches,6.2,50,243,193,0.09,0.11,0.20,0.09,0.20,0.04,0.11
"4,041",no NOR,MF,24,48,45,44.9,11,11,22,9,2,2,2,0.45,0.17,0.42,Matches,17.7,110,397,239,0.24,0.24,0.49,0.20,0.45,0.21,0.25
"3,844",eng ENG,FW,21,47,46,42.7,20,14,34,14,6,6,4,0.74,0.31,0.62,Matches,24.7,196,148,597,0.47,0.33,0.80,0.33,0.66,0.43,0.31
"3,817",de GER,"MF,FW",24,51,43,42.4,14,7,21,13,1,1,14,0.49,0.33,0.47,Matches,17.9,65,120,232,0.33,0.17,0.50,0.31,0.47,0.35,0.14
"3,720",es ESP,GK,27,41,41,41.3,0,0,0,0,0,0,2,0.00,0.00,0.00,Matches,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2,628",br BRA,FW,22,44,31,29.2,8,5,13,8,0,0,1,0.56,0.31,0.56,Matches,15.6,158,75,427,0.27,0.17,0.45,0.27,0.45,0.31,0.25
"2,264",be BEL,FW,28,46,25,25.2,17,2,19,17,0,0,2,0.54,0.39,0.54,Matches,13.1,79,94,195,0.68,0.08,0.76,0.68,0.76,0.39,0.15
"2,078",ua UKR,DF,26,35,24,23.1,1,2,3,1,0,0,3,0.15,0.03,0.15,Matches,3.3,49,258,63,0.04,0.09,0.13,0.04,0.13,0.03,0.12
"1,907",br BRA,FW,26,36,21,21.2,8,8,16,8,0,0,8,0.70,0.41,0.70,Matches,14.5,48,53,198,0.38,0.38,0.76,0.38,0.76,0.41,0.29
"1,679",it ITA,MF,31,36,19,18.7,1,2,3,0,1,1,2,0.16,0.01,0.11,Matches,1.7,11,130,15,0.05,0.11,0.16,0.00,0.11,0.06,0.10
"1,661",jp JPN,DF,24,30,16,18.5,2,3,5,2,0,0,2,0.17,0.11,0.17,Matches,2.9,25,100,47,0.11,0.16,0.27,0.11,0.27,0.11,0.06
"1,594",pl POL,DF,23,30,18,17.7,1,3,4,1,0,0,2,0.16,0.09,0.16,Matches,2.4,6,78,18,0.06,0.17,0.23,0.06,0.23,0.09,0.07
"1,408",eng ENG,FW,24,37,13,15.6,6,3,9,6,0,0,4,0.43,0.36,0.43,Matches,5.8,26,21,89,0.38,0.19,0.58,0.38,0.58,0.36,0.06
990,eng ENG,GK,25,11,11,11.0,0,0,0,0,0,0,0,0.00,0.00,0.00,Matches,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
883,gh GHA,MF,30,16,10,9.8,0,0,0,0,0,0,5,0.08,0.05,0.08,Matches,0.7,15,73,10,0.00,0.00,0.00,0.00,0.00,0.05,0.03
652,eng ENG,FW,23,23,5,7.2,1,2,3,1,0,0,1,0.33,0.12,0.33,Matches,1.6,15,15,42,0.14,0.28,0.41,0.14,0.41,0.12,0.20
486,eng ENG,MF,23,19,4,5.4,0,1,1,0,0,0,0,0.56,0.48,0.56,Matches,2.5,11,28,20,0.00,0.19,0.19,0.00,0.19,0.48,0.07
480,pt POR,FW,23,16,3,5.3,1,3,4,0,1,1,0,0.70,0.11,0.52,Matches,2.2,15,20,43,0.19,0.56,0.75,0.00,0.56,0.30,0.40
146,nl NED,DF,22,3,2,1.6,0,0,0,0,0,0,2,0.00,0.00,0.00,Matches,0.0,0,8,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
127,pt POR,DF,31,5,1,1.4,0,0,0,0,0,0,0,0.05,0.00,0.05,Matches,0.1,0,4,7,0.00,0.00,0.00,0.00,0.00,0.00,0.05
99,eg EGY,MF,31,6,1,1.1,0,0,0,0,0,0,0,0.10,0.10,0.10,Matches,0.1,2,1,0,0.00,0.00,0.00,0.00,0.00,0.10,0.00
67,eng ENG,FW,19,1,1,0.7,0,0,0,0,0,0,0,,,,Matches,,,,,0.00,0.00,0.00,0.00,0.00,,
15,sct SCO,"DF,MF",26,1,0,0.2,0,0,0,0,0,0,0,,,,Matches,,,,,0.00,0.00,0.00,0.00,0.00,,
14,eng ENG,MF,16,1,0,0.2,0,0,0,0,0,0,0,0.15,0.00,0.15,Matches,0.0,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.15
,eng ENG,MF,16,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,eng ENG,MF,16,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,wls WAL,DF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,eng ENG,DF,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,eng ENG,FW,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,eng ENG,DF,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
